state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 756.0, 'rssi': -7.0, 'snr': 13.5, 'time_over_air': 305.0, 'bytes_per_second': 29.0, 'chunks_count': 1.0, 'attempt': 1}",10,865,125,5,20,0,200,81,140,1,0.022803416670000003
"{'delay': 1883.0, 'rssi': -12.0, 'snr': 13.25, 'time_over_air': 846.0, 'bytes_per_second': 10.0, 'chunks_count': 1.0, 'attempt': 1}",6,877,500,5,9,1,200,64,100,1,0.03388900333
"{'delay': 167.0, 'rssi': -3.0, 'snr': 4.0, 'time_over_air': 12.0, 'bytes_per_second': 750.0, 'chunks_count': 1.0, 'attempt': 1}",10,887,250,7,12,0,200,17,100,1,0.030170400000000003
"{'delay': 503.0, 'rssi': -7.0, 'snr': 11.25, 'time_over_air': 178.0, 'bytes_per_second': 50.0, 'chunks_count': 1.0, 'attempt': 1}",7,890,250,5,13,0,200,66,100,1,0.03206934667
"{'delay': 165.0, 'rssi': -6.0, 'snr': 10.25, 'time_over_air': 51.0, 'bytes_per_second': 176.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,125,8,20,0,200,100,140,1,0.0245837
"{'delay': 378.0, 'rssi': -8.0, 'snr': 9.75, 'time_over_air': 148.0, 'bytes_per_second': 60.0, 'chunks_count': 1.0, 'attempt': 1}",10,869,125,6,12,0,200,13,100,1,0.028636966670000003
"{'delay': 837.0, 'rssi': -8.0, 'snr': 11.25, 'time_over_air': 306.0, 'bytes_per_second': 29.0, 'chunks_count': 1.0, 'attempt': 1}",10,868,250,5,3,0,200,7,80,1,0.031776066670000006
"{'delay': 364.0, 'rssi': -18.0, 'snr': 11.5, 'time_over_air': 120.0, 'bytes_per_second': 75.0, 'chunks_count': 1.0, 'attempt': 1}",6,867,250,8,10,1,200,76,100,1,0.030852535
"{'delay': 382.0, 'rssi': -13.0, 'snr': 7.0, 'time_over_air': 29.0, 'bytes_per_second': 310.0, 'chunks_count': 1.0, 'attempt': 1}",11,862,125,6,4,0,200,92,80,1,0.021243833330000003
"{'delay': 4284.0, 'rssi': -25.0, 'snr': 12.5, 'time_over_air': 1905.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",11,864,500,6,6,0,200,63,80,1,0.021243750000000002
"{'delay': 4285.0, 'rssi': -26.0, 'snr': 12.5, 'time_over_air': 1905.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",10,885,125,7,13,0,200,93,100,1,0.02159877667
"{'delay': 2194.0, 'rssi': -7.0, 'snr': 11.5, 'time_over_air': 977.0, 'bytes_per_second': 9.0, 'chunks_count': 1.0, 'attempt': 2}",8,870,125,7,7,0,200,45,80,1,0.03155498333
"{'delay': 423.0, 'rssi': -13.0, 'snr': 12.0, 'time_over_air': 161.0, 'bytes_per_second': 55.0, 'chunks_count': 1.0, 'attempt': 1}",10,881,250,6,16,0,200,33,120,1,0.028466375000000002
"{'delay': 605.0, 'rssi': -5.0, 'snr': 13.75, 'time_over_air': 235.0, 'bytes_per_second': 38.0, 'chunks_count': 1.0, 'attempt': 1}",12,872,125,7,2,0,200,53,80,1,0.016742000000000003
"{'delay': 5994.0, 'rssi': -20.0, 'snr': 8.5, 'time_over_air': 2597.0, 'bytes_per_second': 3.0, 'chunks_count': 1.0, 'attempt': 1}",8,882,500,7,14,0,200,27,120,1,0.03039532833
"{'delay': 130.0, 'rssi': -8.0, 'snr': 7.0, 'time_over_air': 31.0, 'bytes_per_second': 290.0, 'chunks_count': 1.0, 'attempt': 1}",7,882,500,8,17,0,200,90,120,1,0.02764331667
"{'delay': 132.0, 'rssi': -4.0, 'snr': 5.25, 'time_over_air': 35.0, 'bytes_per_second': 257.0, 'chunks_count': 1.0, 'attempt': 1}",11,879,125,8,10,0,200,53,100,1,0.019891583330000004
"{'delay': 3269.0, 'rssi': -12.0, 'snr': 10.75, 'time_over_air': 1332.0, 'bytes_per_second': 6.0, 'chunks_count': 1.0, 'attempt': 1}",8,867,125,6,3,0,200,38,80,1,0.024108623330000002
"{'delay': 3269.0, 'rssi': -12.0, 'snr': 12.0, 'time_over_air': 1332.0, 'bytes_per_second': 6.0, 'chunks_count': 1.0, 'attempt': 2}",9,881,250,7,15,0,200,26,120,1,0.03204850333
"{'delay': 345.0, 'rssi': -7.0, 'snr': 13.5, 'time_over_air': 122.0, 'bytes_per_second': 73.0, 'chunks_count': 1.0, 'attempt': 1}",10,869,250,7,17,0,200,58,120,1,0.022670090000000004
"{'delay': 839.0, 'rssi': -7.0, 'snr': 12.5, 'time_over_air': 346.0, 'bytes_per_second': 26.0, 'chunks_count': 1.0, 'attempt': 1}",10,882,500,6,12,0,200,74,100,1,0.02486093333
"{'delay': 499.0, 'rssi': -8.0, 'snr': 6.25, 'time_over_air': 202.0, 'bytes_per_second': 44.0, 'chunks_count': 1.0, 'attempt': 1}",10,879,125,5,8,0,200,12,100,1,0.03197972167
